City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,inarajan village,13.2736,144.7484,27.54,93,27,3.57,GU,1725390809
83,utrik,11.2278,169.8474,28.62,77,13,6.59,MH,1725390810
84,touros,-5.1989,-35.4608,26.12,67,100,7.74,BR,1725390811
85,akureyri,65.6835,-18.0878,8.96,71,20,6.69,IS,1725390812
86,longyearbyen,78.2186,15.6401,8.91,81,75,1.03,SJ,1725390813
87,margaret river,-33.95,115.0667,14.03,82,99,8.64,AU,1725390814
88,sinop,41.7711,34.8709,19.02,82,100,0.99,TR,1725390815
89,mhamid,29.82,-5.72,37.71,13,0,3.62,MA,1725390816
90,jinghong,21.991,100.7341,21.23,99,89,0.96,CN,1725390818
91,nahiyat ash shinafiyah,31.5874,44.6602,34.33,20,0,6.1,IQ,1725390819
92,hinton,53.4001,-117.5857,22.76,43,24,0.8,CA,1725390820
93,pacific grove,36.6177,-121.9166,25.23,74,0,2.06,US,1725390679
94,hamilton,39.1834,-84.5333,26.81,38,0,5.14,US,1725390822
95,lompoc,34.6391,-120.4579,27.85,64,0,5.66,US,1725390823
96,berezovyy,51.6667,135.7,14.73,78,100,2.52,RU,1725390824
97,punta arenas,-53.15,-70.9167,6.06,56,20,12.35,CL,1725390825
98,murghob,38.1702,73.9667,7.86,35,2,2.68,TJ,1725390826
99,choyr,46.3611,108.3611,12.41,75,99,5.55,MN,1725390827
100,tomatlan,19.9333,-105.25,32.99,55,100,2.35,MX,1725390828
101,greenville,35.6127,-77.3663,26.01,58,75,7.2,US,1725390831
102,tymovskoye,50.8456,142.655,11.67,89,65,3.28,RU,1725390832
103,banda aceh,5.5577,95.3222,25.87,82,100,4.77,ID,1725390833
104,portland,45.5234,-122.6762,21.45,72,100,1.79,US,1725390120
105,ketchikan,55.3422,-131.6461,16.3,71,92,1.07,US,1725390835
106,college,64.8569,-147.8028,10.09,75,75,0.45,US,1725390836
107,anadyr,64.75,177.4833,7.28,93,40,0.0,RU,1725390822
108,masterton,-40.9597,175.6575,7.67,96,100,2.44,NZ,1725390838
109,coquimbo,-29.9533,-71.3436,16.85,60,0,5.66,CL,1725390840
110,gadzhiyevo,69.2551,33.3362,13.66,75,6,5.39,RU,1725390841
111,chakari,-18.0629,29.8925,18.31,34,2,4.37,ZW,1725390842
112,tiksi,71.6872,128.8694,3.5,89,100,2.04,RU,1725390843
113,puerto ayora,-0.7393,-90.3518,21.42,91,89,2.68,EC,1725390844
114,kavalerovo,44.2661,135.0572,10.84,93,0,1.36,RU,1725390845
115,whitehorse,60.7161,-135.0538,12.83,61,75,0.45,CA,1725390846
116,songjianghe,42.1859,127.479,12.75,88,13,2.26,CN,1725390847
117,miyazaki,31.9111,131.4239,24.97,94,1,2.06,JP,1725390848
118,lapinlahti,65.5833,30.5667,15.13,88,5,3.62,RU,1725390849
119,papao,-17.75,-149.55,23.75,72,30,11.84,PF,1725390850
120,muriti,-1.9833,32.9167,24.7,63,4,1.17,TZ,1725390852
121,gunnedah,-30.9833,150.25,4.16,52,5,2.33,AU,1725390853
122,tobruk,32.0836,23.9764,26.84,64,0,3.83,LY,1725390854
123,brookings,44.3114,-96.7984,25.0,50,0,9.77,US,1725390855
124,udachny,66.4167,112.4,8.18,75,100,3.7,RU,1725390856
125,badger,64.8,-147.5333,10.14,75,75,0.0,US,1725390772
126,afaahiti,-17.75,-149.2833,22.49,73,89,10.33,PF,1725390858
127,mahalapye,-23.1041,26.8142,18.79,39,7,4.98,BW,1725390859
128,nkove,-7.95,30.85,25.69,49,71,2.17,TZ,1725390860
129,eseka,3.65,10.7667,22.36,99,100,0.76,CM,1725390861
130,broken hill,-31.95,141.4333,9.95,45,0,5.38,AU,1725390862
131,urengoy,65.9667,78.3667,8.71,92,100,3.22,RU,1725390864
